DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
Inflammatory bowel disease (IBD),Clostridium leptum,"demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41].",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium leptum?,negative
Inflammatory bowel disease (IBD),Faecalibacterium prausnitzii,"demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41].",What is the relationship between Inflammatory bowel disease (IBD) and Faecalibacterium prausnitzii?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41].",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,negative
Inflammatory bowel disease (IBD),Lactobacillus,"Gut microbiota interventions, such as Lactobacillus and Bifidobacterium administration, have been reported to ameliorate intestinal inflammation via promoting the production of anti-inflammatory cytokines, inhibiting the level of oxidative stress, and increasing the content of short-chain fatty acids, which have been ascertained in both IBD patients and in animal models [42,43].",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"Gut microbiota interventions, such as Lactobacillus and Bifidobacterium administration, have been reported to ameliorate intestinal inflammation via promoting the production of anti-inflammatory cytokines, inhibiting the level of oxidative stress, and increasing the content of short-chain fatty acids, which have been ascertained in both IBD patients and in animal models [42,43].",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"The abundance of protective bacteria species such as Bifidobacterium and Lactobacilli was reported to decreased in IBD patients, and these protective bacteria could increase the frequency of mucosal Treg cells to ameliorate IBD symptoms [50].",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,negative
Inflammatory bowel disease (IBD),Lactobacilli,"The abundance of protective bacteria species such as Bifidobacterium and Lactobacilli was reported to decreased in IBD patients, and these protective bacteria could increase the frequency of mucosal Treg cells to ameliorate IBD symptoms [50].",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacilli?,negative
Inflammatory bowel disease (IBD),Peptostreptococcaceae,"In addition, gut microbiota disturbance in IBD patients, such as a decrease in Bacteroidetes and increases in Peptostreptococcaceae and Enterobacteriaceae, led to a decreased content of intestinal antimicrobial peptides (AMPs), including REG3G and DEFB1, which weakened intestinal defense barrier function as a consequence [57].",What is the relationship between Inflammatory bowel disease (IBD) and Peptostreptococcaceae?,positive
Inflammatory bowel disease (IBD),Bacteroidetes,"In addition, gut microbiota disturbance in IBD patients, such as a decrease in Bacteroidetes and increases in Peptostreptococcaceae and Enterobacteriaceae, led to a decreased content of intestinal antimicrobial peptides (AMPs), including REG3G and DEFB1, which weakened intestinal defense barrier function as a consequence [57].",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroidetes?,negative
Inflammatory bowel disease (IBD),Enterobacteriaceae,"In addition, gut microbiota disturbance in IBD patients, such as a decrease in Bacteroidetes and increases in Peptostreptococcaceae and Enterobacteriaceae, led to a decreased content of intestinal antimicrobial peptides (AMPs), including REG3G and DEFB1, which weakened intestinal defense barrier function as a consequence [57].",What is the relationship between Inflammatory bowel disease (IBD) and Enterobacteriaceae?,positive
Inflammatory bowel disease (IBD),Lachnospiraceae,"Evidence from 16S bacteria sequencing demonstrated that the abundances of Lachnospiraceae and F. prausnitzii were significantly reduced in the feces of IBD patients, resulting in decreased intestinal butyrate content and aggravated intestinal barrier damage in inflamed colons [66,67].",What is the relationship between Inflammatory bowel disease (IBD) and Lachnospiraceae?,negative
Inflammatory bowel disease (IBD),Faecalibacterium prausnitzii,"Evidence from 16S bacteria sequencing demonstrated that the abundances of Lachnospiraceae and F. prausnitzii were significantly reduced in the feces of IBD patients, resulting in decreased intestinal butyrate content and aggravated intestinal barrier damage in inflamed colons [66,67].",What is the relationship between Inflammatory bowel disease (IBD) and Faecalibacterium prausnitzii?,negative
Inflammatory bowel disease (IBD),Roseburia,"In addition, a relevant study showed that the abundance of Roseburia hominis, a butyrate-producing bacteria, was notably reduced in IBD patients, which was tightly related to the reduced content of SCFAs in the feces of patients [68].",What is the relationship between Inflammatory bowel disease (IBD) and Roseburia?,negative
Inflammatory bowel disease (IBD),Peptostreptococcus russellii,"Some AhR ligands producing commensal microbiomes, such as Peptostreptococcus russellii, Lactobacillus, and Bifidobacteria, have been proved to be decreased in IBD patients [75,87].",What is the relationship between Inflammatory bowel disease (IBD) and Peptostreptococcus russellii?,negative
Inflammatory bowel disease (IBD),Lactobacillus,"Some AhR ligands producing commensal microbiomes, such as Peptostreptococcus russellii, Lactobacillus, and Bifidobacteria, have been proved to be decreased in IBD patients [75,87].",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus?,negative
Inflammatory bowel disease (IBD),Bifidobacteria,"Some AhR ligands producing commensal microbiomes, such as Peptostreptococcus russellii, Lactobacillus, and Bifidobacteria, have been proved to be decreased in IBD patients [75,87].",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacteria?,negative
Inflammatory bowel disease (IBD),Bacteroides,"Generally, conjugated Bas are converted into respective unconjugated free forms through the action of bile salt hydrolase (BSH)-carrying bacteria, such as Bacteroides, Clostridium, Lactobacillus, Bifidobacterium, and Listeria, the abundances of which have been demonstrated to decrease in IBD patients.",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroides?,negative
Inflammatory bowel disease (IBD),Clostridium,"Generally, conjugated Bas are converted into respective unconjugated free forms through the action of bile salt hydrolase (BSH)-carrying bacteria, such as Bacteroides, Clostridium, Lactobacillus, Bifidobacterium, and Listeria, the abundances of which have been demonstrated to decrease in IBD patients.",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium?,negative
