DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
ulcerative colitis (UC),Bifidobacterium,"Nevertheless, there exist some discrepant results of using probiotics in IBD. For example, Bifidobacterium breve fermented milk had no effect on relieving relapse in UC (100). In a small randomized double-blind placebo-controlled trial of UC, Lactobacillus acidophilus La-5 and Bifidobacterium animalis subsp. lactis BB-12 showed no significant clinical benefit (101). In another clinical trial, EcN did not improve the active UC followed by 7 weeks administration after ciprofloxacin or placebo intervention (102). With regard to CD, Bourreille et al. found that after steroid or salicylate treatment, Saccharomyces boulardii had no beneficial effect on CD patients in remission (103). ",What is the relationship between ulcerative colitis (UC) and Bifidobacterium?,relate
ulcerative colitis (UC),Lactobacillus,"Nevertheless, there exist some discrepant results of using probiotics in IBD. For example, Bifidobacterium breve fermented milk had no effect on relieving relapse in UC (100). In a small randomized double-blind placebo-controlled trial of UC, Lactobacillus acidophilus La-5 and Bifidobacterium animalis subsp. lactis BB-12 showed no significant clinical benefit (101). In another clinical trial, EcN did not improve the active UC followed by 7 weeks administration after ciprofloxacin or placebo intervention (102). With regard to CD, Bourreille et al. found that after steroid or salicylate treatment, Saccharomyces boulardii had no beneficial effect on CD patients in remission (103). ",What is the relationship between ulcerative colitis (UC) and Lactobacillus?,relate
Inflammatory bowel disease (IBD),Bifidobacterium,"Hence, from the valid clinical trials of IBD, we can discover that the main elevated fecal bacteria (genus level) that may involve in modulating gut microbiota-BAs axis are Lactobacillus and Bifidobacterium. Only one clinical trial found the relative increased Bacteroides. Moreover, the outcomes and other effects including immune response of these clinical trials were also presented in Table 1 .",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,relate
Inflammatory bowel disease (IBD),Lactobacillus,"Hence, from the valid clinical trials of IBD, we can discover that the main elevated fecal bacteria (genus level) that may involve in modulating gut microbiota-BAs axis are Lactobacillus and Bifidobacterium. Only one clinical trial found the relative increased Bacteroides. Moreover, the outcomes and other effects including immune response of these clinical trials were also presented in Table 1 .",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus?,relate
Inflammatory bowel disease (IBD),Streptococcus thermophilus,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve, Lactobacillus paracasei, Lactobacillus delbrueckii subsp. bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD. In addition, the combination therapy increased fecal Bifidobacterium (106). In the TNBS-induced colitis model, Lactobacillus plantarum LC27 and Bifidobacterium longum LC67 inhibited Proteobacteria to Bacteroidetes ratio and NF-κB activation, elevated fecal Lactobacilli, Bifidobacteria and tight junction protein expression, simultaneously restored Th17/Treg balance (107).",What is the relationship between Inflammatory bowel disease (IBD) and Streptococcus thermophilus?,relate
Inflammatory bowel disease (IBD),Lactobacillus acidophilus,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve, Lactobacillus paracasei, Lactobacillus delbrueckii subsp. bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD. In addition, the combination therapy increased fecal Bifidobacterium (106). In the TNBS-induced colitis model, Lactobacillus plantarum LC27 and Bifidobacterium longum LC67 inhibited Proteobacteria to Bacteroidetes ratio and NF-κB activation, elevated fecal Lactobacilli, Bifidobacteria and tight junction protein expression, simultaneously restored Th17/Treg balance (107).",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus acidophilus?,relate
Inflammatory bowel disease (IBD),Bifidobacterium infantis,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve, Lactobacillus paracasei, Lactobacillus delbrueckii subsp. bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD. In addition, the combination therapy increased fecal Bifidobacterium (106). In the TNBS-induced colitis model, Lactobacillus plantarum LC27 and Bifidobacterium longum LC67 inhibited Proteobacteria to Bacteroidetes ratio and NF-κB activation, elevated fecal Lactobacilli, Bifidobacteria and tight junction protein expression, simultaneously restored Th17/Treg balance (107).",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium infantis?,relate
Inflammatory bowel disease (IBD),Lactobacillus plantarum,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve, Lactobacillus paracasei, Lactobacillus delbrueckii subsp. bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD. In addition, the combination therapy increased fecal Bifidobacterium (106). In the TNBS-induced colitis model, Lactobacillus plantarum LC27 and Bifidobacterium longum LC67 inhibited Proteobacteria to Bacteroidetes ratio and NF-κB activation, elevated fecal Lactobacilli, Bifidobacteria and tight junction protein expression, simultaneously restored Th17/Treg balance (107).",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus plantarum?,relate
Inflammatory bowel disease (IBD),Bifidobacterium longum,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve, Lactobacillus paracasei, Lactobacillus delbrueckii subsp. bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD. In addition, the combination therapy increased fecal Bifidobacterium (106). In the TNBS-induced colitis model, Lactobacillus plantarum LC27 and Bifidobacterium longum LC67 inhibited Proteobacteria to Bacteroidetes ratio and NF-κB activation, elevated fecal Lactobacilli, Bifidobacteria and tight junction protein expression, simultaneously restored Th17/Treg balance (107).",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium longum?,relate
Inflammatory bowel disease (IBD),Bifidobacterium breve,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve, Lactobacillus paracasei, Lactobacillus delbrueckii subsp. bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD. In addition, the combination therapy increased fecal Bifidobacterium (106). In the TNBS-induced colitis model, Lactobacillus plantarum LC27 and Bifidobacterium longum LC67 inhibited Proteobacteria to Bacteroidetes ratio and NF-κB activation, elevated fecal Lactobacilli, Bifidobacteria and tight junction protein expression, simultaneously restored Th17/Treg balance (107).",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium breve?,relate
Inflammatory bowel disease (IBD),Bifidobacterium,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve, Lactobacillus paracasei, Lactobacillus delbrueckii subsp. bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD. In addition, the combination therapy increased fecal Bifidobacterium (106). In the TNBS-induced colitis model, Lactobacillus plantarum LC27 and Bifidobacterium longum LC67 inhibited Proteobacteria to Bacteroidetes ratio and NF-κB activation, elevated fecal Lactobacilli, Bifidobacteria and tight junction protein expression, simultaneously restored Th17/Treg balance (107).",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,relate
Inflammatory bowel disease (IBD),Streptococcus,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve, Lactobacillus paracasei, Lactobacillus delbrueckii subsp. bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD. In addition, the combination therapy increased fecal Bifidobacterium (106). In the TNBS-induced colitis model, Lactobacillus plantarum LC27 and Bifidobacterium longum LC67 inhibited Proteobacteria to Bacteroidetes ratio and NF-κB activation, elevated fecal Lactobacilli, Bifidobacteria and tight junction protein expression, simultaneously restored Th17/Treg balance (107).",What is the relationship between Inflammatory bowel disease (IBD) and Streptococcus?,relate
